Song,Artist/Group,Producer,Guest Artist/Featuring,Album,Format,Year,Label,Catalog Number,Artwork/Design,Other Notes,Keywords
A1 Actin' Rich (Street),Musab,Ant,,"Actin' Rich (12"")","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2003-1,,,
A2 Actin' Rich (Clean),Musab,Ant,,"Actin' Rich (12"")","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2003-1,,,
A3 Actin' Rich (Instrumental),Musab,Ant,,"Actin' Rich (12"")","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2003-1,,,
B1 Where My Mama Chill (Clean),Musab,Ant,,"Actin' Rich (12"")","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2003-1,,,
B2 Where My Mama Chill (Instrumental),Musab,Ant,,"Actin' Rich (12"")","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2003-1,,,
B3 Guard Your Harem (Clean),Musab,Ant,,"Actin' Rich (12"")","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2003-1,,,
A1 Baseball,I.R.M. Crew,"Brett Edgar, Carl White, and I.R.M. Crew",,"Baseball 12""","12""",1987,K-Tel International,,,,
B1 The Cchill Cut,I.R.M. Crew,"Brett Edgar, Carl White, and I.R.M. Crew",,"Baseball 12""","12""",1987,K-Tel International,,,,
A1 Bleeding Hearts Club (Clean),P.O.S.,,,Bleeding Hearts Club / Yeah Right (Science Science) / What's That Buzzing?,"12""",2006,Rhymesayers Entertainment, RS0082-1,,,
A2 Bleeding Hearts Club (Instrumental),P.O.S.,,,Bleeding Hearts Club / Yeah Right (Science Science) / What's That Buzzing?,"12""",2006,Rhymesayers Entertainment, RS0082-1,,,
A3 Yeah Right (Science Science) (Clean),P.O.S.,,,Bleeding Hearts Club / Yeah Right (Science Science) / What's That Buzzing?,"12""",2006,Rhymesayers Entertainment, RS0082-1,,,
A4 Yeah Right (Science Science) (Instrumental),P.O.S.,,,Bleeding Hearts Club / Yeah Right (Science Science) / What's That Buzzing?,"12""",2006,Rhymesayers Entertainment, RS0082-1,,,
B1 What's That Buzzing (Clean),P.O.S.,,,Bleeding Hearts Club / Yeah Right (Science Science) / What's That Buzzing?,"12""",2006,Rhymesayers Entertainment, RS0082-1,,,
B2 What's That Buzzing (Dirty),P.O.S.,,,Bleeding Hearts Club / Yeah Right (Science Science) / What's That Buzzing?,"12""",2006,Rhymesayers Entertainment, RS0082-1,,,
B3 What's That Buzzing (Instrumental),P.O.S.,,,Bleeding Hearts Club / Yeah Right (Science Science) / What's That Buzzing?,"12""",2006,Rhymesayers Entertainment, RS0082-1,,,
A1 Cats Van Bags (Clean),Atmosphere,Ant,,"Cats Van Bags 12""","12""",,Rhymesayers Entertainment,,,,
A2 Cats Van Bags (Dirty),Atmosphere,Ant,,"Cats Van Bags 12""","12""",,Rhymesayers Entertainment,,,,
A3 Cats Van Bags (Instrumental),Atmosphere,Ant,,"Cats Van Bags 12""","12""",,Rhymesayers Entertainment,,,,
B1 Reflections (Clean),Atmosphere,Ant,,"Cats Van Bags 12""","12""",,Rhymesayers Entertainment,,,,
B2 Reflections (Instrumental),Atmosphere,Ant,,"Cats Van Bags 12""","12""",,Rhymesayers Entertainment,,,,
B3 Self Hate Bad Dub,Atmosphere,Ant,,"Cats Van Bags 12""","12""",,Rhymesayers Entertainment,,,,
A1 Crime (Innocent),Semi.Ofifical,Semi.Ofifical,,"Crime 12""","12""",,Rhymesayers Entertainment,,,,
A2 Crime (Guilty),Semi.Ofifical,Semi.Ofifical,,"Crime 12""","12""",,Rhymesayers Entertainment,,,,
A3 Crime (No Suspects),Semi.Ofifical,Semi.Ofifical,,"Crime 12""","12""",,Rhymesayers Entertainment,,,,
B1 P.A.A. (Remix) (Street),Semi.Ofifical,Jake One,,"Crime 12""","12""",,Rhymesayers Entertainment,,,,
B2 P.A.A. (Remix) (Beats),Semi.Ofifical,Jake One,,"Crime 12""","12""",,Rhymesayers Entertainment,,,,
B3 Songs in the Key of Trife (Street),Semi.Ofifical,Semi.Ofifical,,"Crime 12""","12""",,Rhymesayers Entertainment,,,,
A1 I Don't Know If It's Helping,Ela,Knol Tate,,Ela,"12""",2003,self-released,,308 (Art + Design),,
A2 Razor Blade,Ela,Knol Tate,,Ela,"12""",2003,self-released,,308 (Art + Design),,
B1 I Don't Know If It's Helping (Marshall Larada Remix),Ela,Knol Tate,,Ela,"12""",2003,self-released,,308 (Art + Design),,
B2 I'm History I'm a Photograph,Ela,Knol Tate,,Ela,"12""",2003,self-released,,308 (Art + Design),,
A1 Fun Boy,Oddjobs,Anatomy & Deetalx,,Fun Boy,"12""",2003,"CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002","CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002",,,
A2 Amish Woodshed,Oddjobs,Anatomy & Deetalx,,Fun Boy,"12""",2003,"CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002","CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002",,,
A3 The Sex Rapper,Oddjobs,Anatomy & Deetalx,,Fun Boy,"12""",2003,"CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002","CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002",,,
