Song,Artist/Group,Producer,Guest Artist/Featuring,Album,Format,Year,Label,Catalog Number,Artwork/Design,Other Notes,Keywords
B1 B96,Oddjobs,Anatomy & Deetalx,,Fun Boy,"12""",2003,"CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002","CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002",,,
B2 BBQ Wings and a Prayer,Oddjobs,Anatomy & Deetalx,,Fun Boy,"12""",2003,"CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002","CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002",,,
B3 Principal's Office,Oddjobs,Anatomy & Deetalx,,Fun Boy,"12""",2003,"CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002","CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002",,,
B4 Yeah You Bad! ,Oddjobs,Anatomy & Deetalx,,Fun Boy,"12""",2003,"CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002","CMI Productions â€_â€“ SB03002, Super Bro â€_â€“ SB03002, DMR â€_â€“ SB03002",,,
A1 Godlovesugly (Clean),Atmosphere,Ant,,"Godlovesugly 12""","12""",2002,Rhymesayers Entertainment,FBR2502,Dan Monick (Photos); Siddiq (Layout),,
A2 Flesh (Remix),Atmosphere,Ant,,"Godlovesugly 12""","12""",2002,Rhymesayers Entertainment,FBR2502,Dan Monick (Photos); Siddiq (Layout),,
A3 Bleed Slow (Who Cares),Atmosphere,Ant,,"Godlovesugly 12""","12""",2002,Rhymesayers Entertainment,FBR2502,Dan Monick (Photos); Siddiq (Layout),,
B1 Bones (Instrumental),Atmosphere,Ant,,"Godlovesugly 12""","12""",2002,Rhymesayers Entertainment,FBR2502,Dan Monick (Photos); Siddiq (Layout),,
B2 Blood (Instrumental),Atmosphere,Ant,,"Godlovesugly 12""","12""",2002,Rhymesayers Entertainment,FBR2502,Dan Monick (Photos); Siddiq (Layout),,
B2 Shhhh (Instrumental),Atmosphere,Ant,,"Godlovesugly 12""","12""",2002,Rhymesayers Entertainment,FBR2502,Dan Monick (Photos); Siddiq (Layout),,
A1 Onemosphere,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
A2 The Bass and the Movement,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
A3 Give Me,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
A4 Twomosphere,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
B1 F@ck You Lucy,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
B2 Hair,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
B3 Godlovesugly,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
B4 Godlovesugly Reprise,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
C1 Saves the Day,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
C2 Lovelife,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
C3 Breathing,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
C4 One of a Kind,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
D1 A Girl Named Hope,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
D2 My Songs,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
D3 Shrapnel,Atmosphere,Ant,,Godlovesugly Instumentals,"12""",2002,Rhymesayers Entertainment/Fat Beats,FB 5001 Ins,,,
A2 Life Sentence,Brother Ali,Memo,,"Life Sentence 12""","12""",2007,"Molemen, INC",,,,
B1 2 Hour Banger (Instrumental),Memo,Memo,,"Life Sentence 12""","12""",2007,"Molemen, INC",,,,
B2 Life Sentence (Instrumental),Memo,Memo,,"Life Sentence 12""","12""",2007,"Molemen, INC",,,,
A3 Redemption,Myka 9,PNS,,"Life Sentence 12""","12""",2007,"Molemen, INC",,,,
B3 Redemption (Instrumental),PNS,PNS,,"Life Sentence 12""","12""",2007,"Molemen, INC",,,,
A1 2 Hour Banger,Saigon,Memo,,"Life Sentence 12""","12""",2007,"Molemen, INC",,,,
A1 Modern Man's Hustle (Naturally Clean),Atmosphere,Ant,,"Modern Man's Hustle 12""","12""",2002,Rhymesayers Entertainment/Fat Beats,FBR2001,,,
A2 Onemosphere (Not Clean),Atmosphere,Ant,,"Modern Man's Hustle 12""","12""",2002,Rhymesayers Entertainment/Fat Beats,FBR2001,,,
A3 Twomosphere (Not Clean and Unavailable),Atmosphere,Ant,,"Modern Man's Hustle 12""","12""",2002,Rhymesayers Entertainment/Fat Beats,FBR2001,,,
A4 Threemosphere (Not Clean and Unavailable),Atmosphere,Ant,,"Modern Man's Hustle 12""","12""",2002,Rhymesayers Entertainment/Fat Beats,FBR2001,,,
B1 Threemosphere (Cleaned),Atmosphere,Ant,,"Modern Man's Hustle 12""","12""",2002,Rhymesayers Entertainment/Fat Beats,FBR2001,,,
B2 Modern Man's Music (Instrumental),Atmosphere,Ant,,"Modern Man's Hustle 12""","12""",2002,Rhymesayers Entertainment/Fat Beats,FBR2001,,,
B3 Beatmosphere (Instrumental),Atmosphere,Ant,,"Modern Man's Hustle 12""","12""",2002,Rhymesayers Entertainment/Fat Beats,FBR2001,,,
A1 National Disgrace (Radio),Atmosphere,Ant,,"National Disgrace 12""","12""",,Rhymesayers Entertainment,RS0048,,,
A2 Sick Pimpin' (Original Version),Atmosphere,Ant,,"National Disgrace 12""","12""",,Rhymesayers Entertainment,RS0048,,,
B1 Always Coming Back Home to You (Album),Atmosphere,Ant,,"National Disgrace 12""","12""",,Rhymesayers Entertainment,RS0048,,,
B2 Always Coming Back Home to You (Acoustic Version),Atmosphere,Ant,,"National Disgrace 12""","12""",,Rhymesayers Entertainment,RS0048,,,
B3 Knock Knock Joke 2 (Original Version),Atmosphere,Ant,,"National Disgrace 12""","12""",,Rhymesayers Entertainment,RS0048,,,
B4 Knock Knock Joke 2 (Instrumental Version),Atmosphere,Ant,,"National Disgrace 12""","12""",,Rhymesayers Entertainment,RS0048,,,
A1 Sex and More (Dirty),Slug,Fred Ones,,Phobia of Doors,"12""",2004,Traffic Entertainment Group, TEG 1927,Kellie N. Terry (Photos),,
A2 Sex and More (Clean),Slug,Fred Ones,,Phobia of Doors,"12""",2004,Traffic Entertainment Group, TEG 1927,Kellie N. Terry (Photos),,
A3 Sex and More (Instrumental),Slug,Fred Ones,,Phobia of Doors,"12""",2004,Traffic Entertainment Group, TEG 1927,Kellie N. Terry (Photos),,
B1 Some Seeds,Vast Aire,Fred Ones,,Phobia of Doors,"12""",2004,Traffic Entertainment Group, TEG 1927,Kellie N. Terry (Photos),,
B2 Some Seeds,Vast Aire,Fred Ones,,Phobia of Doors,"12""",2004,Traffic Entertainment Group, TEG 1927,Kellie N. Terry (Photos),,
B3 Some Seeds,Vast Aire,Fred Ones,,Phobia of Doors,"12""",2004,Traffic Entertainment Group, TEG 1927,Kellie N. Terry (Photos),,
A1 Pushing Buttons,Eyedea and Abilities,Abilties,,"Pushing Buttons 12""","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2004-1,,,
A2 Architect's Theme,Eyedea and Abilities,Abilties,,"Pushing Buttons 12""","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2004-1,,,
A3 A Murder of Memories,Eyedea and Abilities,Abilties,,"Pushing Buttons 12""","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2004-1,,,
B1 Pushing Buttons (Instrumental),Eyedea and Abilities,Abilties,,"Pushing Buttons 12""","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2004-1,,,
B2 Abilites Battle Break,Eyedea and Abilities,Abilties,,"Pushing Buttons 12""","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2004-1,,,
B3 Architect's Theme (Instrumental),Eyedea and Abilities,Abilties,,"Pushing Buttons 12""","12""",2000,Rhymesayers Entertainment/Fat Beats,RS2004-1,,,
A1 R U Ready 2 Change the World? (Radio),I.R.M. Crew,Paul Robb,,R U Ready to Change the World,"12""",1988,K-Tel International,,,,
A2 R U Ready 2 Change the World? (Dub Version),I.R.M. Crew,Paul Robb,,R U Ready to Change the World,"12""",1988,K-Tel International,,,,
A3 R U Ready 2 Change the World? (Instrumental),I.R.M. Crew,Paul Robb,,R U Ready to Change the World,"12""",1988,K-Tel International,,,,
B1 Who Said Our Dee Jay Couldn't Cut?!/He's Ruthless,I.R.M. Crew,Paul Robb,,R U Ready to Change the World,"12""",1988,K-Tel International,,,,
A1 Room With A View (Street),Brother Ali,Ant,,"Room With A View (12"")","12""",2003,Rhymesayers Entertainment/Fat Beats,RS0028-1,George Thompson (Artwork); Siddiq (Layout and Design),,
A2 Room With a View (Radio),Brother Ali,Ant,,"Room With A View (12"")","12""",2003,Rhymesayers Entertainment/Fat Beats,RS0028-1,George Thompson (Artwork); Siddiq (Layout and Design),,
A3 Star Quality (Radio),Brother Ali,Ant,,"Room With A View (12"")","12""",2003,Rhymesayers Entertainment/Fat Beats,RS0028-1,George Thompson (Artwork); Siddiq (Layout and Design),,
B1 Bitchslap! (Street),Brother Ali,Ant,,"Room With A View (12"")","12""",2003,Rhymesayers Entertainment/Fat Beats,RS0028-1,George Thompson (Artwork); Siddiq (Layout and Design),,
B2 Room With a View (Instrumental),Brother Ali,Ant,,"Room With A View (12"")","12""",2003,Rhymesayers Entertainment/Fat Beats,RS0028-1,George Thompson (Artwork); Siddiq (Layout and Design),,
B3 Star Quality (Instrumental),Brother Ali,Ant,,"Room With A View (12"")","12""",2003,Rhymesayers Entertainment/Fat Beats,RS0028-1,George Thompson (Artwork); Siddiq (Layout and Design),,
B4 Bitchslap! (Bonus Beats),Brother Ali,Ant,,"Room With A View (12"")","12""",2003,Rhymesayers Entertainment/Fat Beats,RS0028-1,George Thompson (Artwork); Siddiq (Layout and Design),,
A1 History,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
A2 Trying to Find a Balance,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
A3 Bird Sings Why The Caged I Know,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
A4 Always COming Back Home to You,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
B1 They Keys to Life vs. 15 Minutes of Fame,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
B2 Apple,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
B3 Suicidegirls,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
B4 Lifter Puller,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
C1 Shoes,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
C2 National Disgrace,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
C3 Denvemolorado,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
C4 Liquor Lyes Cool July,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
D1 Gotta Lotta Walls,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
D2 Good Times (Sick Pimpin'),Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
D3 In My Continental,Atmosphere,Ant,,Seven's Travels (Instrumentals),"12""",2003,Rhymesayers Entertainment/Fat Beats,RS0039-1,,,
A1 Kanye West,Atmosphere,Ant,,The Lake Nokomis Maxi Single,"12""",2014,Rhymesayers Entertainment,RSE178-1,Alex Everson (Art Direction) and Dan Monick (Photos),Picture Disc; 3024/5000,
A2 Bob Seger,Atmosphere,Ant,,The Lake Nokomis Maxi Single,"12""",2014,Rhymesayers Entertainment,RSE178-1,Alex Everson (Art Direction) and Dan Monick (Photos),Picture Disc; 3024/5000,
A3 I Don't Need Fancy Shit,Atmosphere,Ant,,The Lake Nokomis Maxi Single,"12""",2014,Rhymesayers Entertainment,RSE178-1,Alex Everson (Art Direction) and Dan Monick (Photos),Picture Disc; 3024/5000,
B1 Bitter,Atmosphere,Ant,,The Lake Nokomis Maxi Single,"12""",2014,Rhymesayers Entertainment,RSE178-1,Alex Everson (Art Direction) and Dan Monick (Photos),Picture Disc; 3024/5000,
B2 Idiot,Atmosphere,Ant,,The Lake Nokomis Maxi Single,"12""",2014,Rhymesayers Entertainment,RSE178-1,Alex Everson (Art Direction) and Dan Monick (Photos),Picture Disc; 3024/5000,
B3 Prelude to Hell,Atmosphere,Ant,,The Lake Nokomis Maxi Single,"12""",2014,Rhymesayers Entertainment,RSE178-1,Alex Everson (Art Direction) and Dan Monick (Photos),Picture Disc; 3024/5000,
A1 Between the Lines,Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
A2 Like Today,Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
A3 Tears for the Sheep,Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
A4 Mama Had a Beat,Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
B1 Don't Ever Fucking Question That,Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
B2 It Goes,Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
B3 Aspiring Sociopath,Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
C1 God's Bathrooom Floor (Instrumental),Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
C2 Between the Lines (Instrumental),Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
C3 The Abusing of the Rib (Instrumental),Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
C4 Scapegoat (Instrumental),Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
C5 Guns & Cigarettes (Instrumental),Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
D1 Primer (Instrumental),Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
D2 Like Today (Instrumental),Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
D3 Tears for the Sheep (Instrumental),Atmosphere,Ant,,The Lucy EP,"12""",2001,Rhymesayers Entertainment,RS2005-1,Adam Martin and Dan Monick,,
A1 Hypnotized,Oddjobs,Anatomy & Deetalx,,The Shopkeeper's Wife,"12""",2003,Third Earth Music,3EM 014,Octavio de Alva (Photos),,
A2 The Mighty Fine,Oddjobs,Anatomy & Deetalx,,The Shopkeeper's Wife,"12""",2003,Third Earth Music,3EM 014,Octavio de Alva (Photos),,
A3 The Shopkeeper's Wife,Oddjobs,Anatomy & Deetalx,,The Shopkeeper's Wife,"12""",2003,Third Earth Music,3EM 014,Octavio de Alva (Photos),,
B1 Tricked,Oddjobs,Anatomy & Deetalx,,The Shopkeeper's Wife,"12""",2003,Third Earth Music,3EM 014,Octavio de Alva (Photos),,
B2 Burden Streak,Oddjobs,Anatomy & Deetalx,,The Shopkeeper's Wife,"12""",2003,Third Earth Music,3EM 014,Octavio de Alva (Photos),,
B3 Transparent,Oddjobs,Anatomy & Deetalx,,The Shopkeeper's Wife,"12""",2003,Third Earth Music,3EM 014,Octavio de Alva (Photos),,
B1 Afterburner,Serum & Induce,Induce,,The Vapors Project,"12""",2002,Counterflow Recordings,CF022-1,"Struggle, Inc (Design); Mistervaen & Sarah Pieres (Photos); Oiler (Handstyles)",,
B2 Afterburner (Instrumental),Serum & Induce,Induce,,The Vapors Project,"12""",2002,Counterflow Recordings,CF022-1,"Struggle, Inc (Design); Mistervaen & Sarah Pieres (Photos); Oiler (Handstyles)",,
"A1 RPM, Revolutions Per Minute, Pt. 2.1",Slug & El-P,El-P,,The Vapors Project,"12""",2002,Counterflow Recordings,CF022-1,"Struggle, Inc (Design); Mistervaen & Sarah Pieres (Photos); Oiler (Handstyles)",,
"A2 RPM, Revolutions Per Minute, Pt. 2.1 (Instrumental)",Slug & El-P,El-P,,The Vapors Project,"12""",2002,Counterflow Recordings,CF022-1,"Struggle, Inc (Design); Mistervaen & Sarah Pieres (Photos); Oiler (Handstyles)",,
"A3 RPM, Revolutions Per Minute, Pt. 2.1 (Plex Remix Instrumental)",Slug & El-P,Plex,,The Vapors Project,"12""",2002,Counterflow Recordings,CF022-1,"Struggle, Inc (Design); Mistervaen & Sarah Pieres (Photos); Oiler (Handstyles)",,
"A3 RPM, Revolutions Per Minute, Pt. 2.1 (Plex Remix)",Slug & El-P,Plex,,The Vapors Project,"12""",2002,Counterflow Recordings,CF022-1,"Struggle, Inc (Design); Mistervaen & Sarah Pieres (Photos); Oiler (Handstyles)",,
A1 Trying to Find a Balance (Dirty),Atmosphere,Ant,,"Trying to Find a Balance 12""","12""",2003,Rhymesayers Entertainment,RS0041-1,,,
A2 Shoes (Dirty),Atmosphere,Ant,,"Trying to Find a Balance 12""","12""",2003,Rhymesayers Entertainment,RS0041-1,,,
A3 A Song We Made With Sage (Dirty),Atmosphere,Ant,,"Trying to Find a Balance 12""","12""",2003,Rhymesayers Entertainment,RS0041-1,,,
B1 Trying to Find a Balance (Clean),Atmosphere,Ant,,"Trying to Find a Balance 12""","12""",2003,Rhymesayers Entertainment,RS0041-1,,,
B2 Shoes (Clean),Atmosphere,Ant,,"Trying to Find a Balance 12""","12""",2003,Rhymesayers Entertainment,RS0041-1,,,
B3 Trying to Find a Balance (Instrumental),Atmosphere,Ant,,"Trying to Find a Balance 12""","12""",2003,Rhymesayers Entertainment,RS0041-1,,,
A1 Uncle Sam Goddam (Censored),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Blue)","12""",2007,Rhymesayers Entertainment,RSE0081-1BLUE,,,
A2 Uncle Sam Goddam (Uncensored),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Blue)","12""",2007,Rhymesayers Entertainment,RSE0081-1BLUE,,,
A3 Uncle Sam Goddam (Instrumental),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Blue)","12""",2007,Rhymesayers Entertainment,RSE0081-1BLUE,,,
B1 Talkin' My Shit (Uncensored),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Blue)","12""",2007,Rhymesayers Entertainment,RSE0081-1BLUE,,,
B2 Talkin' My Shit (Instrumental),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Blue)","12""",2007,Rhymesayers Entertainment,RSE0081-1BLUE,,,
B3 Talkin' My Shit (Acapella,Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Blue)","12""",2007,Rhymesayers Entertainment,RSE0081-1BLUE,,,
A1 Uncle Sam Goddam (Censored),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Red)","12""",2007,Rhymesayers Entertainment,RSE0081-1RED,,,
A2 Uncle Sam Goddam (Uncensored),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Red)","12""",2007,Rhymesayers Entertainment,RSE0081-1RED,,,
A3 Uncle Sam Goddam (Instrumental),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Red)","12""",2007,Rhymesayers Entertainment,RSE0081-1RED,,,
B1 No Alibis (Censored),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Red)","12""",2007,Rhymesayers Entertainment,RSE0081-1RED,,,
B2 No Alibis (Uncensored),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Red)","12""",2007,Rhymesayers Entertainment,RSE0081-1RED,,,
B3 No Alibis (Instrumental),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (Red)","12""",2007,Rhymesayers Entertainment,RSE0081-1RED,,,
A1 Uncle Sam Goddam (Censored),Brother Ali,Ant,,"Uncle Sam Goddam 12"" (White)","12""",2007,Rhymesayers Entertainment,RSE0081-1WHITE,,,
